#module #, # channels, active, Max Rise Rate(V/s), Max Fall Rate(V/s)(V/s), Max Set V(V), Max Set I(uA), Max I Trip Time (ms)
        0,         16,      T,                100,                     100,         2000,           320,                  250
        1,          8,      T,                100,                     100,         2000,           320,                  250
